SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
HB_HUBAVG,2016,Jul,27.459206989247313,5.86,99.3,12.793737081962162,0.15782808267388118
HB_HUBAVG,2016,Aug,30.94853494623656,13.39,232.88,28.067207749952477,0.18716024879886045
HB_HUBAVG,2016,Sep,27.18813888888889,10.99,203.88,15.164137746107041,0.1392594634322067
HB_HUBAVG,2016,Oct,25.769059139784947,2.96,277.51,16.816964578457853,0.1903819541981554
HB_HUBAVG,2016,Nov,19.489305555555557,2.37,49.27,6.544536122879045,0.18711788633040824
HB_HUBAVG,2016,Dec,25.362594086021506,2.34,139.98,11.198097445441176,0.20770313439819094
HB_HUBAVG,2017,Jan,23.325551075268816,1.84,96.27,7.577709890137233,0.20031473663953842
HB_HUBAVG,2017,Feb,20.352127976190477,2.34,53.19,7.066815784413841,0.19754122593816306
HB_HUBAVG,2017,Mar,23.233230148048452,4.36,87.72,8.87079453890928,0.15255255267924822
HB_HUBAVG,2017,Apr,24.83048611111111,8.6,91.68,8.938620642163299,0.14527889025138768
HB_HUBAVG,2017,May,25.90502688172043,4.18,65.97,8.793912445332898,0.15424728174205452
HB_HUBAVG,2017,Jun,28.51384722222222,14.64,88.26,12.215149025157544,0.13743119080634847
HB_HUBAVG,2017,Jul,31.864408602150537,16.7,263.26,18.501171755106707,0.15750642715958113
HB_HUBAVG,2017,Aug,27.83861559139785,16.62,90.23,11.25476501294962,0.12545797278069845
HB_HUBAVG,2017,Sep,24.519694444444443,8.4,61.96,8.26848361703299,0.12051713786040832
HB_HUBAVG,2017,Oct,24.701451612903227,3.48,109.91,12.053085676988324,0.16767910945465012
HB_HUBAVG,2017,Nov,23.16713888888889,3.68,91.6,8.902537112871341,0.16907778891323821
HB_HUBAVG,2017,Dec,21.209852150537635,4.55,56.06,5.3366052597287865,0.1590920686415927
HB_HUBAVG,2018,Jan,37.7730376344086,5.24,1658.38,87.50519670270869,0.22005267313969906
HB_HUBAVG,2018,Feb,21.830059523809524,4.2,73.4,7.607576739110759,0.2003999505394781
HB_HUBAVG,2018,Mar,22.40343203230148,6.13,69.98,8.604464627194636,0.18737432982917468
HB_HUBAVG,2018,Apr,22.450305555555556,4.42,53.51,7.838026572185337,0.16580980193020553
HB_HUBAVG,2018,May,32.834852150537635,7.13,536.14,37.75765213475436,0.22887624324834344
HB_HUBAVG,2018,Jun,29.781861111111112,14.66,113.13,14.418706406790351,0.14509997047616746
HB_HUBAVG,2018,Jul,78.8323252688172,9.95,2061.56,233.3255127232922,0.37803303833929686
HB_HUBAVG,2018,Aug,31.694583333333334,12.87,149.94,18.56014531660235,0.16253084049143268
HB_HUBAVG,2018,Sep,27.05302777777778,14.75,88.41,10.301125773944907,0.12034277939243249
HB_HUBAVG,2018,Oct,29.889112903225808,9.98,95.61,10.165972310649044,0.13648760346550046
HB_HUBAVG,2018,Nov,30.277208333333334,8.42,105.98,11.820105869491798,0.17277014100340748
HB_HUBAVG,2018,Dec,30.191989247311827,6.45,117.99,10.318657868630195,0.1777404560989398
HB_HUBAVG,2019,Jan,24.68340053763441,5.59,75.44,8.210358990110416,0.1701846107649234
HB_HUBAVG,2019,Feb,21.25063988095238,4.85,56.86,7.073012164577064,0.19003477534481697
HB_HUBAVG,2019,Mar,27.189030955585466,5.95,674.86,34.35972336363791,0.20636695865032695
HB_HUBAVG,2019,Apr,22.221166666666665,4.4,103.18,12.112938760854043,0.19826732559440588
HB_HUBAVG,2019,May,23.883763440860214,9.03,67.33,8.577879707268156,0.1343185745643264
HB_HUBAVG,2019,Jun,25.171541666666666,8.6,102.85,13.788867563759183,0.1484402282266935
HB_HUBAVG,2019,Jul,29.696236559139784,11.28,274.53,26.839811239624776,0.19439417130851763
HB_HUBAVG,2019,Aug,126.34983870967741,9.9,3499.49,401.1272589683443,0.5135184763509946
HB_HUBAVG,2019,Sep,79.45919444444445,7.89,5008.13,380.17390025920133,0.34956730599117375
HB_HUBAVG,2019,Oct,28.131760752688173,6.05,851.39,53.417383946265446,0.23118682802306126
HB_HUBAVG,2019,Nov,23.257236111111112,2.91,201.15,14.540368868864507,0.2305287150888688
HB_HUBAVG,2019,Dec,18.62337365591398,3.49,60.41,6.752492529393898,0.1852620499139476
HB_NORTH,2016,Jan,19.133306451612903,5.09,55.56,5.465482000164042,0.1616487244507235
HB_NORTH,2016,Feb,15.292658045977012,2,51.26,5.741953441774281,0.2194669382784106
HB_NORTH,2016,Mar,16.859367429340512,1.46,60.79,7.259944346713298,0.2098157821834434
HB_NORTH,2016,Apr,18.350666666666665,1.3,90.11,9.314117201804843,0.2258237797914184
HB_NORTH,2016,May,17.905631720430108,3.55,74.68,7.66682611970472,0.16874344216988077
HB_NORTH,2016,Jun,23.158055555555556,3.64,101,10.37844027970814,0.14570867194204928
HB_NORTH,2016,Jul,26.800793010752688,9.02,98.94,11.667287327521294,0.1504241999420875
HB_NORTH,2016,Aug,29.828387096774193,13.37,223.94,25.427223868923868,0.18402208171323997
HB_NORTH,2016,Sep,26.249180555555554,10.7,200,14.525627155172398,0.1372753693989615
HB_NORTH,2016,Oct,24.005255376344085,2.71,269.05,15.390332528302766,0.19018533388403935
HB_NORTH,2016,Nov,18.66488888888889,1.92,47.62,6.101731530063149,0.18975746204666408
